Rating,Publication Cost,ISBN,Book Title,Year,Genres,Link,Total Revenue,Book URL
3.79,15833.0,0142000671,Of Mice and Men,1937,"fiction, classics, academic, school, literature, historical-fiction, academic, read-for-school, novels, young-adult, high-school, literature, american, classics, classic-literature",dir01/890.Of_Mice_and_Men.html,1070755.0,https://www.goodreads.com/author/show/585.John_Steinbeck
4.04,13214.0,0440498058,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",1962,"fantasy, young-adult, classics, science-fiction, childrens, science-fiction-fantasy, science-fiction, time-travel, adventure, childrens, middle-grade, childrens, juvenile",dir01/18131.A_Wrinkle_in_Time.html,420001.0,https://www.goodreads.com/author/show/106.Madeleine_L_Engle
3.94,11736.0,0393970124,Dracula,1897,"classics, horror, fiction, fantasy, paranormal, vampires, gothic, literature, fantasy, paranormal, fantasy, supernatural, novels",dir01/17245.Dracula.html,429079.0,https://www.goodreads.com/author/show/6988.Bram_Stoker
4.24,10614.0,0345418263,The Princess Bride,1973,"fantasy, classics, romance, humor, young-adult, adventure, science-fiction-fantasy, fantasy, fairy-tales, humor, comedy, book-club",dir01/21787.The_Princess_Bride.html,457219.0,https://www.goodreads.com/author/show/12521.William_Goldman
3.93,12622.0,0060929871,Brave New World,1932,"classics, science-fiction, science-fiction, dystopia, academic, school, novels, fantasy, science-fiction-fantasy, philosophy, young-adult, high-school, european-literature, british-literature",dir01/5129.Brave_New_World.html,751377.0,https://www.goodreads.com/author/show/3487.Aldous_Huxley
4.44,70247.0,0399155341,The Help,2009,"book-club, historical-fiction, adult-fiction, womens-fiction, chick-lit, drama, american, southern, classics, contemporary, realistic-fiction, novels",dir01/4667024-the-help.html,1091909.0,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett
3.99,14777.0,0060531045,One Hundred Years of Solitude,1967,"fiction, classics, magical-realism, literature, novels, fantasy, historical-fiction, european-literature, spanish-literature, book-club, cultural, latin-american",dir01/320.One_Hundred_Years_of_Solitude.html,419719.0,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez
4.07,22713.0,0142437204,Jane Eyre,1847,"fiction, romance, literature, historical-fiction, gothic, academic, school, novels, classics, classic-literature, european-literature, british-literature, literature, 19th-century",dir01/10210.Jane_Eyre.html,893232.0,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_
4.23,6228.0,0099408392,Where the Wild Things Are,1963,"childrens, childrens, picture-books, classics, fiction, fantasy, adventure, young-adult, kids, childrens, juvenile, animals",dir01/19543.Where_the_Wild_Things_Are.html,426455.0,https://www.goodreads.com/author/show/4489.Maurice_Sendak
3.78,9056.0,0142437174,The Adventures of Huckleberry Finn,1884,"classics, fiction, young-adult, historical-fiction, academic, school, adventure, novels, childrens, academic, read-for-school, literature, american",dir01/2956.The_Adventures_of_Huckleberry_Finn.html,824146.0,https://www.goodreads.com/author/show/1244.Mark_Twain
3.72,31131.0,0316166685,The Lovely Bones,2002,"fiction, mystery, young-adult, contemporary, fantasy, book-club, mystery, crime, adult, adult-fiction, drama",dir01/12232938-the-lovely-bones.html,1190963.0,https://www.goodreads.com/author/show/316.Alice_Sebold
4.3,33912.0,1594489505,A Thousand Splendid Suns,2007,"fiction, historical-fiction, book-club, contemporary, novels, adult-fiction, adult, literature, drama, war",dir01/128029.A_Thousand_Splendid_Suns.html,563920.0,https://www.goodreads.com/author/show/569.Khaled_Hosseini
4.09,8839.0,0517189607,The Secret Garden,1911,"historical-fiction, childrens, young-adult, literature, classics, childrens, juvenile, childrens, middle-grade, european-literature, british-literature, classics, classic-literature, fiction",dir01/2998.The_Secret_Garden.html,469736.0,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett
4.05,50663.0,1565125606,Water for Elephants,2006,"book-club, contemporary, fiction, literary-fiction, classics, media-tie-in, movies, historical-fiction, cultural, canada, modern, romance, love-story",dir01/43641.Water_for_Elephants.html,885435.0,https://www.goodreads.com/author/show/24556.Sara_Gruen
4.29,5426.0,0394800168,Green Eggs and Ham,1960,"childrens, childrens, picture-books, classics, poetry, humor, fantasy, kids, young-adult, food-and-drink, food, childrens, juvenile",dir01/23772.Green_Eggs_and_Ham.html,362840.0,https://www.goodreads.com/author/show/61105.Dr_Seuss
3.79,18287.0,0393978893,Wuthering Heights,1847,"classics, romance, literature, gothic, historical-fiction, novels, literature, 19th-century, classics, classic-literature, academic, school",dir01/6185.Wuthering_Heights.html,685269.0,https://www.goodreads.com/author/show/4191.Emily_Bront_
4.34,82098.0,0062024035,"Divergent (Divergent, #1)",2011,"young-adult, science-fiction, dystopia, fiction, fantasy, science-fiction, romance",dir01/13335037-divergent.html,1127983.0,https://www.goodreads.com/author/show/4039811.Veronica_Roth
3.76,9390.0,0141439602,A Tale of Two Cities,1859,"classics, fiction, historical-fiction, literature, academic, school, novels, classics, classic-literature, european-literature, british-literature, literature, 19th-century, cultural, france",dir01/1953.A_Tale_of_Two_Cities.html,509640.0,https://www.goodreads.com/author/show/239579.Charles_Dickens
4.12,37615.0,1416914285,"City of Bones (The Mortal Instruments, #1)",2007,"fantasy, young-adult, fantasy, paranormal, fantasy, urban-fantasy, romance, paranormal, vampires, fantasy, supernatural, paranormal, angels, shapeshifters, werewolves, fantasy, magic",dir01/256683.City_of_Bones.html,716398.0,https://www.goodreads.com/author/show/150038.Cassandra_Clare
3.86,36670.0,0770430074,Life of Pi,2001,"fiction, fantasy, book-club, adventure, classics, contemporary, literature, novels, philosophy, cultural, india",dir01/4214.Life_of_Pi.html,794732.0,https://www.goodreads.com/author/show/811.Yann_Martel
3.68,5785.0,0143039954,The Odyssey,-800,"classics, fiction, poetry, fantasy, mythology, academic, school, literature, fantasy, adventure, academic, read-for-school, epic",dir01/1381.The_Odyssey.html,560248.0,https://www.goodreads.com/author/show/903.Homer
3.99,13389.0,0345803922,Anna Karenina,1877,"classics, fiction, cultural, russia, literature, romance, historical-fiction, novels, literature, russian-literature, book-club, literature, 19th-century",dir01/15823480-anna-karenina.html,307786.0,https://www.goodreads.com/author/show/128382.Leo_Tolstoy
3.85,11628.0,Unknown,Lolita,1955,"classics, fiction, literature, cultural, russia, novels, romance, book-club, literature, russian-literature",dir01/7604.Lolita.html,374886.0,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov
4.01,12532.0,0385333846,Slaughterhouse-Five,1969,"fiction, classics, science-fiction, literature, war, historical-fiction, novels, fantasy, literature, american, humor",dir01/4981.Slaughterhouse_Five.html,630319.0,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut
3.79,18284.0,0192815431,Wuthering Heights,1847,"classics, romance, literature, gothic, historical-fiction, novels, literature, 19th-century, classics, classic-literature, academic, school",dir01/589092.Wuthering_Heights.html,685224.0,https://www.goodreads.com/author/show/4191.Emily_Bront_
4.0,13703.0,014038572X,The Outsiders,1967,"classics, fiction, young-adult, academic, school, academic, read-for-school, realistic-fiction, historical-fiction, young-adult, coming-of-age, childrens, drama",dir01/231804.The_Outsiders.html,446938.0,https://www.goodreads.com/author/show/762707.S_E_Hinton
3.96,9761.0,0684833395,"Catch-22 (Catch-22, #1)",1961,"classics, literature, american, humor, book-club, classics, modern-classics",dir01/168668.Catch_22.html,396550.0,https://www.goodreads.com/author/show/3167.Joseph_Heller
4.26,22156.0,0451207149,"The Pillars of the Earth (The Pillars of the Earth, #1)",1989,"historical-fiction, fiction, book-club, historical-fiction, medieval, classics, fantasy, novels, adult, adult-fiction, epic",dir01/5043.The_Pillars_of_the_Earth.html,332614.0,https://www.goodreads.com/author/show/3447.Ken_Follett
4.12,8326.0,0340839937,"Dune (Dune Chronicles, #1)",1963,"science-fiction, fiction, fantasy, classics, science-fiction-fantasy, science-fiction, space-opera, novels, adventure, speculative-fiction, epic",dir01/234225.Dune.html,361984.0,https://www.goodreads.com/author/show/58.Frank_Herbert
3.77,31737.0,0316769177,The Catcher in the Rye,1951,"classics, fiction, young-adult, literature, academic, school, novels, young-adult, coming-of-age, literature, american, young-adult, high-school, academic, read-for-school",dir01/5107.The_Catcher_in_the_Rye.html,1500230.0,https://www.goodreads.com/author/show/819789.J_D_Salinger
4.02,7320.0,038039586X,Watership Down,1972,"classics, fiction, fantasy, young-adult, animals, childrens, adventure, literature, novels, book-club",dir01/76620.Watership_Down.html,217315.0,https://www.goodreads.com/author/show/7717.Richard_Adams
3.84,38222.0,0743273567,The Great Gatsby,1925,"classics, fiction, literature, academic, school, historical-fiction, romance, book-club, novels, young-adult, high-school, academic, read-for-school",dir01/4671.The_Great_Gatsby.html,1803088.0,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald
4.31,9713.0,0385199570,The Stand,1978,"science-fiction, science-fiction, dystopia, science-fiction, apocalyptic, suspense, novels, science-fiction-fantasy, fantasy, supernatural, adult, mystery, adult-fiction",dir01/149267.The_Stand.html,316586.0,https://www.goodreads.com/author/show/3389.Stephen_King
4.03,26761.0,0743454537,My Sister's Keeper,2004,"fiction, womens-fiction, chick-lit, book-club, drama, adult, contemporary, young-adult, adult-fiction, realistic-fiction, novels",dir01/10917.My_Sister_s_Keeper.html,646158.0,https://www.goodreads.com/author/show/7128.Jodi_Picoult
3.7,12050.0,0141439475,Frankenstein,1818,"academic, school, academic, read-for-school, classics, classic-literature, literature, 19th-century, european-literature, british-literature, young-adult, high-school, adult, science-fiction-fantasy",dir01/18490.Frankenstein.html,625571.0,https://www.goodreads.com/author/show/11139.Mary_Shelley
3.7,8925.0,0192833596,Great Expectations,1861,"classics, fiction, literature, historical-fiction, academic, school, novels, classics, classic-literature, european-literature, british-literature, literature, 19th-century, academic, read-for-school",dir01/2623.Great_Expectations.html,341308.0,https://www.goodreads.com/author/show/239579.Charles_Dickens
4.22,12309.0,0061120073,A Tree Grows in Brooklyn,1943,"classics, fiction, book-club, historical-fiction, young-adult, young-adult, coming-of-age, literature, novels, new-york, adult",dir01/14891.A_Tree_Grows_in_Brooklyn.html,227813.0,https://www.goodreads.com/author/show/2327917.Betty_Smith
4.27,3329.0,0192835084,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",1892,"classics, mystery, fiction, short-stories, mystery, crime, mystery, detective, literature, adventure, european-literature, british-literature, historical-fiction",dir01/3590.The_Adventures_of_Sherlock_Holmes.html,119128.0,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle
4.04,7686.0,0007205236,"Angela's Ashes (Frank McCourt, #1)",1996,"non-fiction, autobiography, memoir, cultural, ireland, classics, biography, autobiography, biography-memoir, history, european-literature, irish-literature, book-club, biography",dir01/252577.Angela_s_Ashes.html,316412.0,https://www.goodreads.com/author/show/3347.Frank_McCourt
4.16,5130.0,0451163966,One Flew Over the Cuckoo's Nest,1962,"classics, literature, psychology, academic, school, literature, american, contemporary, fiction, mental-health, mental-illness, adult-fiction, classics, modern-classics",dir01/332613.One_Flew_Over_the_Cuckoo_s_Nest.html,375638.0,https://www.goodreads.com/author/show/7285.Ken_Kesey
3.98,15207.0,038549081X,The Handmaid's Tale,1985,"fiction, science-fiction, dystopia, classics, science-fiction, feminism, book-club, fantasy, literature, cultural, canada, novels",dir01/38447.The_Handmaid_s_Tale.html,361917.0,https://www.goodreads.com/author/show/3472.Margaret_Atwood
3.94,31472.0,0307265439,The Road,2006,"science-fiction, apocalyptic, post-apocalyptic, science-fiction, dystopia, horror, book-club, literature, classics, novels, contemporary, science-fiction, apocalyptic",dir01/6288.The_Road.html,399166.0,https://www.goodreads.com/author/show/4178.Cormac_McCarthy
3.94,9589.0,0061148512,The Bell Jar,1963,"classics, fiction, psychology, literature, feminism, mental-health, mental-illness, poetry",dir01/6514.The_Bell_Jar.html,301713.0,https://www.goodreads.com/author/show/4379.Sylvia_Plath
3.98,16612.0,0060786507,The Poisonwood Bible,1998,"fiction, historical-fiction, cultural, africa, book-club, classics, literature, novels, contemporary, adult-fiction, religion",dir01/7244.The_Poisonwood_Bible.html,449361.0,https://www.goodreads.com/author/show/3541.Barbara_Kingsolver
4.17,9775.0,0316323705,Rebecca,1938,"classics, fiction, mystery, romance, gothic, book-club, historical-fiction, suspense, literature, european-literature, british-literature",dir01/17899948-rebecca.html,216763.0,https://www.goodreads.com/author/show/2001717.Daphne_du_Maurier
4.13,5567.0,0671727796,The Color Purple,1982,"fiction, historical-fiction, classics, literature, cultural, african-american, feminism, novels, adult, adult-fiction, literature, american",dir01/11486.The_Color_Purple.html,297036.0,https://www.goodreads.com/author/show/7380.Alice_Walker
3.95,6345.0,0393312836,A Clockwork Orange,1962,"classics, science-fiction, science-fiction, dystopia, literature, novels, european-literature, british-literature, adult",dir01/227463.A_Clockwork_Orange.html,328471.0,https://www.goodreads.com/author/show/5735.Anthony_Burgess
4.28,5226.0,0374528373,The Brothers Karamazov,1880,"classics, fiction, cultural, russia, literature, literature, russian-literature, philosophy, novels, literature, 19th-century, classics, classic-literature, religion",dir01/4934.The_Brothers_Karamazov.html,119574.0,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky
4.23,12644.0,0156012197,The Little Prince,1940,"young-adult, childrens, philosophy, classics, novels, fantasy, cultural, france, fiction, childrens, juvenile, adventure",dir01/157993.The_Little_Prince.html,456663.0,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry
4.44,35009.0,0553588486,"A Game of Thrones (A Song of Ice and Fire, #1)",1996,"fiction, fantasy, epic-fantasy, science-fiction-fantasy, adult, adventure, fantasy, high-fantasy, epic, fantasy, dragons, science-fiction, novels",dir01/13496.A_Game_of_Thrones.html,813425.0,https://www.goodreads.com/author/show/346732.George_R_R_Martin
3.66,11888.0,0452011876,Atlas Shrugged,1957,"fiction, classics, philosophy, literature, politics, science-fiction, science-fiction, dystopia, novels, economics",dir01/662.Atlas_Shrugged.html,212339.0,https://www.goodreads.com/author/show/432.Ayn_Rand
4.14,21408.0,0440242940,"Outlander (Outlander, #1)",1991,"historical-fiction, romance, fantasy, fiction, science-fiction, time-travel, romance, historical-romance, adult, cultural, scotland, book-club, science-fiction",dir01/10964.Outlander.html,304238.0,https://www.goodreads.com/author/show/3617.Diana_Gabaldon
4.18,31846.0,0786838655,"The Lightning Thief (Percy Jackson and the Olympians, #1)",2005,"fantasy, young-adult, fantasy, mythology, fiction, adventure, childrens, childrens, middle-grade, mythology, greek-mythology, fantasy, urban-fantasy, fantasy, magic",dir01/28187.The_Lightning_Thief.html,806465.0,https://www.goodreads.com/author/show/15872.Rick_Riordan
4.2,34026.0,0671027344,The Perks of Being a Wallflower,1999,"young-adult, fiction, realistic-fiction, contemporary, young-adult, coming-of-age, romance, young-adult, teen, book-club",dir01/22628.The_Perks_of_Being_a_Wallflower.html,579402.0,https://www.goodreads.com/author/show/12898.Stephen_Chbosky
3.94,7302.0,0553208845,Siddhartha,1922,"classics, fiction, philosophy, literature, religion, spirituality, religion, buddhism, european-literature, german-literature, novels, historical-fiction",dir01/52036.Siddhartha.html,269635.0,https://www.goodreads.com/author/show/1113469.Hermann_Hesse
3.82,3602.0,0142437239,Don Quixote,1605,"classics, fiction, literature, european-literature, spanish-literature, adventure, novels, historical-fiction, cultural, spain, humor, classics, classic-literature",dir01/3836.Don_Quixote.html,104118.0,https://www.goodreads.com/author/show/4037220.Miguel_de_Cervantes_Saavedra
4.21,46332.0,1594480001,The Kite Runner,2002,"fiction, historical-fiction, book-club, contemporary, novels, literature, classics, adult-fiction, adult, drama",dir01/77203.The_Kite_Runner.html,1268863.0,https://www.goodreads.com/author/show/569.Khaled_Hosseini
4.21,8768.0,0552135399,A Prayer for Owen Meany,1989,"fiction, classics, book-club, literature, contemporary, novels, literary-fiction, adult-fiction, literature, american, adult",dir01/4473.A_Prayer_for_Owen_Meany.html,185806.0,https://www.goodreads.com/author/show/3075.John_Irving
4.16,14968.0,Unknown,"Vampire Academy (Vampire Academy, #1)",2007,"young-adult, teen, young-adult, fantasy, paranormal, vampires, fantasy, paranormal, young-adult, young-adult-fantasy, romance, young-adult, high-school, romance, paranormal-romance, love",dir01/18660669-vampire-academy.html,297022.0,https://www.goodreads.com/author/show/137902.Richelle_Mead
4.2,34030.0,1451696191,The Perks of Being a Wallflower,1999,"young-adult, fiction, realistic-fiction, young-adult, coming-of-age, contemporary, romance, young-adult, teen, book-club, classics, novels",dir01/13573503-the-perks-of-being-a-wallflower.html,579497.0,https://www.goodreads.com/author/show/12898.Stephen_Chbosky
4.06,55616.0,0307269752,"The Girl with the Dragon Tattoo (Millennium, #1)",2005,"mystery, crime, book-club, suspense, thriller, mystery-thriller, contemporary, adult, adult-fiction, mystery, novels, thriller",dir01/2429135.The_Girl_with_the_Dragon_Tattoo.html,1219742.0,https://www.goodreads.com/author/show/706255.Stieg_Larsson
4.13,14120.0,0312353766,The Red Tent,1997,"historical-fiction, fiction, book-club, religion, adult-fiction, adult, novels, womens, literature, christian",dir01/4989.The_Red_Tent.html,335756.0,https://www.goodreads.com/author/show/626222.Anita_Diamant
3.4,7564.0,0142437247,"Moby-Dick; or, The Whale",1851,"classics, literature, adventure, novels, historical-fiction, literature, american, classics, classic-literature, literature, 19th-century",dir01/153747.Moby_Dick_or_The_Whale.html,309450.0,https://www.goodreads.com/author/show/1624.Herman_Melville
4.03,13892.0,0553816713,"The Notebook (The Notebook, #1)",1996,"love, romance, realistic-fiction, classics, young-adult, novels, romance, contemporary-romance, young-adult, high-school, contemporary, womens-fiction, chick-lit",dir01/15931.The_Notebook.html,836208.0,https://www.goodreads.com/author/show/2345.Nicholas_Sparks
4.25,6520.0,0141301066,Matilda,1988,"childrens, fantasy, young-adult, classics",dir01/39988.Matilda.html,301881.0,https://www.goodreads.com/author/show/4273.Roald_Dahl
4.0,12509.0,0451529308,"Little Women (Little Women, #1)",1868,"classics, young-adult, historical-fiction, romance, literature, childrens, classics, classic-literature, literature, 19th-century, womens-fiction, chick-lit, literature, american",dir01/1934.Little_Women.html,968323.0,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott
3.95,5967.0,0345476875,"Interview with the Vampire (The Vampire Chronicles, #1)",1976,"paranormal, vampires, fantasy, horror, fiction, fantasy, urban-fantasy, gothic, historical-fiction, fantasy, paranormal, science-fiction-fantasy, fantasy, supernatural",dir01/43763.Interview_with_the_Vampire.html,314027.0,https://www.goodreads.com/author/show/7577.Anne_Rice
3.93,17399.0,0312422156,Middlesex,2002,"fiction, book-club, contemporary, historical-fiction, novels, literature, literary-fiction, glbt, adult-fiction, adult",dir01/2187.Middlesex.html,392127.0,https://www.goodreads.com/author/show/1467.Jeffrey_Eugenides
4.11,38249.0,0385732554,"The Giver (The Giver, #1)",1993,"young-adult, science-fiction, dystopia, classics, science-fiction, fantasy, academic, school, childrens, book-club",dir01/3636.The_Giver.html,903900.0,https://www.goodreads.com/author/show/2493.Lois_Lowry
3.89,11145.0,0679879242,"The Golden Compass (His Dark Materials, #1)",1995,"young-adult, childrens, science-fiction, adventure, science-fiction, steampunk, science-fiction-fantasy, fantasy, fantasy, magic",dir01/119322.The_Golden_Compass.html,696716.0,https://www.goodreads.com/author/show/3618.Philip_Pullman
3.96,22248.0,0142001740,The Secret Life of Bees,2001,"american, southern, fiction, book-club, novels, literary-fiction, cultural, african-american, young-adult, high-school, media-tie-in, movies, romance, academic, read-for-school",dir01/37435.The_Secret_Life_of_Bees.html,742872.0,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd
3.63,9682.0,0684830493,The Old Man and the Sea,1952,"classics, fiction, literature, novels, academic, school, literature, american, adventure",dir01/2165.The_Old_Man_and_the_Sea.html,317776.0,https://www.goodreads.com/author/show/1455.Ernest_Hemingway
4.36,1438.0,0385074077,The Complete Stories and Poems,1975,"classics, short-stories, mystery, literature, gothic, poetry, classics, classic-literature, literature, american, fiction, horror",dir01/23919.The_Complete_Stories_and_Poems.html,142955.0,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe
4.32,1886.0,0525467564,Winnie-the-Pooh,1926,"classics, childrens, fiction, fantasy, young-adult, childrens, picture-books, animals, childrens, juvenile, literature, european-literature, british-literature",dir02/99107.Winnie_the_Pooh.html,157833.0,https://www.goodreads.com/author/show/81466.A_A_Milne
